City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,Zhigalovo,54.8097,105.1578,18.66,76,99,8.63,RU,2022-03-28 03:27:32
176,Tayga,56.06,85.6197,25.72,76,2,9.53,RU,2022-03-28 03:27:32
177,Brigham City,41.5102,-112.0155,65.39,25,0,4.61,US,2022-03-28 03:27:32
178,Richards Bay,-28.783,32.0377,68.81,92,17,5.39,ZA,2022-03-28 03:22:21
179,East London,-33.0153,27.9116,67.14,88,0,12.66,ZA,2022-03-28 03:27:33
180,Zhuhai,22.2769,113.5678,62.38,88,75,13.8,CN,2022-03-28 03:27:33
181,Waingapu,-9.6567,120.2641,84.33,68,95,3.44,ID,2022-03-28 03:27:34
182,Mehamn,71.0357,27.8492,19.35,93,40,5.75,NO,2022-03-28 03:27:34
183,Jinji,23.2281,110.8261,62.67,76,100,5.03,CN,2022-03-28 03:28:34
184,Chuy,-33.6971,-53.4616,60.58,65,0,5.5,UY,2022-03-28 03:28:35
185,Aswan,24.0934,32.907,56.5,13,0,6.91,EG,2022-03-28 03:28:35
186,Poronaysk,49.2167,143.1167,29.93,62,100,13.0,RU,2022-03-28 03:28:35
187,Sanchursk,56.9413,47.2499,17.82,87,100,12.75,RU,2022-03-28 03:28:36
188,Katherine,-14.4667,132.2667,93.52,43,75,5.75,AU,2022-03-28 03:28:36
189,Vardo,70.3705,31.1107,27.28,59,100,20.13,NO,2022-03-28 03:28:37
190,Cabo San Lucas,22.8909,-109.9124,77.31,33,20,11.5,MX,2022-03-28 03:28:37
191,Zykovo,55.9519,93.1461,25.54,76,14,1.01,RU,2022-03-28 03:28:38
192,Great Yarmouth,52.6083,1.7305,43.45,96,13,4.56,GB,2022-03-28 03:28:38
193,Waipawa,-41.4122,175.5153,57.27,75,93,7.29,NZ,2022-03-28 03:28:38
194,Cairns,-16.9167,145.7667,89.11,70,20,8.05,AU,2022-03-28 03:28:39
195,Hilo,19.7297,-155.09,78.53,64,20,5.75,US,2022-03-28 03:22:14
196,Praia Da Vitoria,38.7333,-27.0667,59.25,94,75,8.41,PT,2022-03-28 03:28:39
197,Half Moon Bay,37.4636,-122.4286,57.78,89,100,21.85,US,2022-03-28 03:28:39
198,San Jeronimo,-11.9472,-75.2829,52.34,84,98,2.89,PE,2022-03-28 03:28:40
199,Kushmurun,52.4503,64.6311,19.4,95,100,16.67,KZ,2022-03-28 03:28:40
200,Taoudenni,22.6783,-3.9836,82.98,35,21,4.85,ML,2022-03-28 03:28:40
201,Gonen,40.1049,27.654,44.02,36,4,4.12,TR,2022-03-28 03:28:41
202,Guerrero Negro,27.9769,-114.0611,61.0,81,80,8.86,MX,2022-03-28 03:25:07
203,Salalah,17.0151,54.0924,84.29,21,3,24.16,OM,2022-03-28 03:20:48
204,Trelew,-43.249,-65.3051,63.05,29,0,8.12,AR,2022-03-28 03:28:41
205,Baoding,38.8511,115.4903,59.14,22,0,14.65,CN,2022-03-28 03:28:42
206,Avigliana,45.0771,7.3986,54.32,36,62,6.11,IT,2022-03-28 03:28:42
207,Vredendal,-31.6683,18.5012,66.4,51,0,3.02,ZA,2022-03-28 03:28:43
208,Mount Gambier,-37.8333,140.7667,69.71,56,100,12.66,AU,2022-03-28 03:25:55
209,Kudymkar,59.0173,54.656,18.7,92,88,7.36,RU,2022-03-28 03:28:45
210,Torbay,47.6666,-52.7314,36.75,86,100,19.57,CA,2022-03-28 03:28:45
211,Shingu,33.7333,135.9833,63.3,45,99,1.03,JP,2022-03-28 03:24:12
212,Vestmanna,62.1564,-7.1664,36.52,87,75,10.36,FO,2022-03-28 03:28:46
213,Yerbogachen,61.2767,108.0108,21.56,88,99,9.46,RU,2022-03-28 03:28:46
214,Vostok,46.4856,135.8833,27.5,87,100,10.4,RU,2022-03-28 03:28:47
215,Alexandria,31.2156,29.9553,51.76,82,40,6.91,EG,2022-03-28 03:27:16
