City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
149,Constitucion,-35.3333,-72.4167,55.74,76,18,9.93,CL,few clouds
150,Ilulissat,69.2167,-51.1,23.02,86,75,6.91,GL,light snow
151,Tiksi,71.6872,128.8694,-4.92,98,100,7.85,RU,overcast clouds
152,Bathsheba,13.2167,-59.5167,77.61,73,40,17.27,BB,scattered clouds
153,Saint-Philippe,-21.3585,55.7679,76.59,78,65,11.81,RE,broken clouds
154,Sola,-13.8833,167.55,83.14,74,100,14.23,VU,overcast clouds
155,Jinan,36.6683,116.9972,66.67,25,0,3.36,CN,clear sky
156,Leningradskiy,69.3833,178.4167,-1.8,93,100,21.65,RU,overcast clouds
157,Mackay,-21.15,149.2,88.68,65,9,16.11,AU,clear sky
158,Ribeira Grande,38.5167,-28.7,62.11,89,100,29.26,PT,overcast clouds
159,Udachnyy,66.4167,112.4,16.45,72,100,20.65,RU,overcast clouds
160,Severo-Kurilsk,50.6789,156.125,35.51,94,100,12.5,RU,overcast clouds
161,Cleethorpes,53.5605,-0.0323,44.96,76,20,27.63,GB,few clouds
162,Codrington,-38.2667,141.9667,69.48,59,43,19.35,AU,scattered clouds
163,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,73.65,98,100,0.65,BR,overcast clouds
164,Manokwari,-0.8667,134.0833,83.26,71,99,4.0,ID,overcast clouds
165,Sao Jose Do Belmonte,-7.8614,-38.7597,72.37,61,95,6.49,BR,overcast clouds
166,Port Hedland,-20.3167,118.5667,96.85,24,7,12.66,AU,clear sky
167,Alyangula,-13.8483,136.4192,87.67,70,40,8.05,AU,scattered clouds
168,Kruisfontein,-34.0033,24.7314,53.89,68,68,16.71,ZA,broken clouds
169,Tasiilaq,65.6145,-37.6368,28.56,93,96,5.28,GL,overcast clouds
170,Zabol,32.25,67.25,67.42,18,9,2.19,AF,clear sky
171,Kapaa,22.0752,-159.319,80.58,75,20,17.27,US,light rain
172,Victoria,22.2855,114.1577,79.97,65,35,8.01,HK,scattered clouds
173,Katsuura,35.1333,140.3,58.84,75,100,11.45,JP,overcast clouds
174,Imeni Babushkina,59.7573,43.1285,22.3,89,85,8.97,RU,overcast clouds
175,Sernur,56.9333,49.1536,20.98,96,14,7.83,RU,few clouds
176,Port-Gentil,-0.7193,8.7815,80.35,84,100,12.88,GA,overcast clouds
177,Los Llanos De Aridane,28.6585,-17.9182,58.75,74,100,11.5,ES,overcast clouds
178,Acapulco,16.8634,-99.8901,75.85,79,84,6.4,MX,broken clouds
179,Salta,-24.7859,-65.4117,62.58,85,0,3.44,AR,clear sky
180,Egvekinot,66.3167,-179.1667,-7.47,89,94,2.53,RU,overcast clouds
181,Totness,5.8833,-56.3167,76.06,89,49,9.08,SR,light rain
182,Tabuk,17.4189,121.4443,78.94,78,97,7.49,PH,overcast clouds
183,Kantilo,20.35,85.1833,88.92,44,20,2.55,IN,few clouds
184,Guelph,43.5501,-80.2497,50.68,93,100,10.36,CA,mist
185,Byron Bay,-28.65,153.6167,76.89,78,40,11.34,AU,scattered clouds
186,Cururupu,-1.8283,-44.8683,73.98,98,89,2.28,BR,heavy intensity rain
187,Poum,-20.2333,164.0167,81.21,82,100,23.33,NC,overcast clouds
188,Hofn,64.2539,-15.2082,29.08,61,0,21.52,IS,clear sky
189,Madison Heights,42.4859,-83.1052,45.01,89,0,4.61,US,clear sky
190,Monrovia,6.3005,-10.7969,74.97,89,100,7.56,LR,light rain
191,Harindanga,22.0383,88.3214,86.23,60,6,13.51,IN,clear sky
192,Puerto Ayora,-0.7393,-90.3518,77.63,88,82,6.6,EC,light rain
193,Avera,33.194,-82.5271,64.45,93,97,12.35,US,heavy intensity rain
194,Morehead,37.2711,-87.1764,48.99,96,0,1.01,US,clear sky
195,Kalat,29.0225,66.5916,62.69,34,0,5.57,PK,clear sky
196,Abu Kamal,34.4506,40.9171,66.52,36,0,21.32,SY,clear sky
197,Kudahuvadhoo,2.6708,72.8944,83.05,69,12,3.06,MV,few clouds
198,Hami,42.8,93.45,72.07,11,2,4.41,CN,clear sky
199,Marzuq,14.4,46.4667,64.35,20,0,3.11,YE,clear sky
