City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
279,Namibe,AO,71.1,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
280,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
282,Chimbote,PE,68.04,overcast clouds,-9.0853,-78.5783,Hotel Briliá
284,Pacific Grove,US,75.15,clear sky,36.6177,-121.9166,Lovers Point Inn
285,Susanville,US,52.92,clear sky,40.4163,-120.653,Comfort Inn & Suites
287,San Cristobal,VE,73.58,scattered clouds,7.7669,-72.225,Pirineos
288,Cabo San Lucas,MX,70.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
289,Karratha,AU,94.69,few clouds,-20.7377,116.8463,ibis Styles Karratha
290,Tessalit,ML,80.37,clear sky,20.1986,1.0114,
292,Koregaon,IN,84.27,clear sky,18.65,74.0833,hotel nisarg lounge
293,Namatanai,PG,80.02,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
295,Phonhong,LA,86.86,scattered clouds,18.5007,102.4166,Manyvong Guest House
297,Miranda,CO,69.93,scattered clouds,3.2499,-76.2281,unidiversidad organica la utopia
299,Bandarbeyla,SO,77.83,few clouds,9.4942,50.8122,JABIR HOTEL
300,Naze,JP,67.12,broken clouds,28.3667,129.4833,Shishime Hotel
302,Tezu,IN,80.4,broken clouds,27.9167,96.1667,Circuit House
303,Guerrero Negro,MX,62.73,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
304,Rio De Janeiro,BR,77.0,broken clouds,-22.9028,-43.2075,Hotel cruz de ouro
305,Puerto Colombia,CO,80.69,broken clouds,10.9878,-74.9547,Hotel El Emigrante
306,Wilmington,US,70.99,few clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
307,Lavumisa,SZ,71.31,broken clouds,-27.31,31.892,ROADSIDE B&B
308,Pilibanga,IN,90.54,clear sky,29.4916,74.079,Sharma Bhawan
309,Buraydah,SA,72.05,clear sky,26.326,43.975,Mövenpick Qassim
310,Carutapera,BR,75.61,overcast clouds,-1.195,-46.02,Lidera
311,Beloha,MG,70.54,clear sky,-25.1667,45.05,
312,Kununurra,AU,93.18,few clouds,-15.7667,128.7333,Hotel Kununurra
313,Jiayuguan,CN,65.66,clear sky,39.8167,98.3,Jiugang Hotel - Jiayuguan
314,Isiro,CD,63.79,overcast clouds,2.7739,27.616,Guest House Hewa Bora
315,Jucuapa,SV,74.8,overcast clouds,13.5167,-88.3833,Casa De Evelin
317,Bonfim,BR,77.29,broken clouds,3.0833,-59.95,
318,Takoradi,GH,80.29,overcast clouds,4.8845,-1.7554,Raybow International Hotel
319,Te Anau,NZ,53.85,few clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
321,Noumea,NC,81.0,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
324,Suleja,NG,81.59,overcast clouds,9.1758,7.1808,Capy Motel
326,Zabid,YE,78.19,clear sky,14.1951,43.3152,مغرب التريبه
327,Flinders,AU,67.37,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
330,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
331,Lompoc,US,78.94,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
335,Pahalgam,IN,50.59,clear sky,34.0333,75.3333,Grand Mumtaz Resorts Pahalgam
336,Boa Vista,BR,84.18,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
338,Lodwar,KE,86.41,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
339,Varanasi,IN,80.69,haze,25.3333,83.0,"Taj Ganges, Varanasi"
342,Segou,ML,86.76,broken clouds,13.4317,-6.2157,Comme chez soi
343,Muroto,JP,62.47,overcast clouds,33.2833,134.15,Oota Ryokan
344,Menongue,AO,60.89,few clouds,-14.6585,17.691,Ritz Lauca
345,Yatou,CN,57.96,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
347,Monaco-Ville,FR,51.64,clear sky,43.731,7.4248,Le Méridien Beach Plaza
348,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
349,Cockburn Town,TC,78.39,clear sky,21.4612,-71.1419,Osprey Beach Hotel
352,Altos,BR,73.71,overcast clouds,-5.0381,-42.46,Pousada Das Aguias
353,Soyo,AO,77.41,overcast clouds,-6.1349,12.3689,Hotel Mpampa
354,Yulara,AU,80.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
356,Opuwo,,64.78,clear sky,-18.0607,13.84,ABBA Guesthouse
361,Bachaquero,VE,80.78,scattered clouds,9.9694,-71.1494,casa de los dinosaurios
362,Corinto,GR,59.41,overcast clouds,37.9407,22.9573,Ephira Hotel
363,Changde,CN,76.35,clear sky,29.0464,111.6783,Kangshida Hotel
364,Puerto Leguizamo,CO,73.4,overcast clouds,-0.1934,-74.7819,la casona de juancho
367,Luderitz,,61.14,overcast clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
371,Akyab,MM,84.18,few clouds,20.15,92.9,Hotel Memory
373,Torit,SS,78.93,broken clouds,4.4133,32.5678,Diplomat Guest House
374,Mwene-Ditu,CD,64.45,overcast clouds,-7.0,23.45,Hôtel Kamas
375,Guanica,PR,77.05,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
376,Uvalde,US,71.13,clear sky,29.3669,-99.767,
377,Coquimbo,CL,56.93,overcast clouds,-29.9533,-71.3436,Hotel San Juan
378,Jambi,ID,72.52,light rain,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
384,Baruun-Urt,MN,56.5,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
385,Minas De Barroteran,MX,69.28,clear sky,27.6333,-101.2833,Motel Venecia
387,Sonegaon,IN,93.33,scattered clouds,20.65,78.6833,Gaytari Got Form
389,Manjacaze,MZ,70.16,clear sky,-24.7117,33.8828,Hotel Gani
390,Sechelt,CA,51.82,overcast clouds,49.4664,-123.7694,The Driftwood Inn
392,Buala,SB,84.02,light rain,-8.145,159.5921,Maringe Lagoon Lodge
393,Dabat,ET,57.96,clear sky,12.9842,37.765,Haymanot hotel
394,East London,ZA,60.33,clear sky,-33.0153,27.9116,Tu Casa
395,Mogadishu,SO,80.4,scattered clouds,2.0371,45.3438,Hotel Juba
396,Methoni,GR,62.22,overcast clouds,36.8197,21.7049,Methoni Beach Hotel
397,Estelle,US,78.8,clear sky,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
398,Portland,US,58.41,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
400,Rach Gia,VN,85.89,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
404,Port Augusta,AU,74.21,clear sky,-32.5,137.7667,Majestic Oasis Apartments
405,Abu Zabad,SD,80.02,clear sky,12.35,29.25,حامد محمد نور
406,Tura,IN,78.96,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
407,Santa Rosa,PH,88.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
408,Airai,TL,76.42,broken clouds,-8.9266,125.4092,
410,Palembang,ID,77.09,broken clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
411,Boende,CD,70.54,overcast clouds,-0.2167,20.8667,
412,Mattru,SL,76.39,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
413,Omboue,GA,77.11,overcast clouds,-1.5746,9.2618,Hotel Olako
414,Mayo,US,55.81,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
415,Kahului,US,80.62,broken clouds,20.8947,-156.47,Maui Seaside Hotel
416,Taltal,CL,72.23,clear sky,-25.4,-70.4833,Residencial Karime
417,Kilindoni,TZ,82.06,clear sky,-7.9139,39.6668,Bustani B&B
421,Bairnsdale,AU,65.05,broken clouds,-37.8333,147.6167,Town Central Motel
424,Mercedes,AR,64.04,clear sky,-34.6515,-59.4307,Posada del Inti Centro
425,Koulikoro,ML,80.92,few clouds,14.0,-7.75,
426,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
428,Birin,NP,65.66,clear sky,26.8865,88.0718,Sangam hotel and lodge
429,Chandigarh,IN,86.41,clear sky,30.7343,76.7933,Hotel Oyster
430,Itaituba,BR,72.64,broken clouds,-4.2761,-55.9836,Hotel Campos
434,Saint-Francois,FR,51.42,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
438,Lumphat,KH,85.86,scattered clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
439,Pampa,US,53.56,broken clouds,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
441,Hualmay,PE,69.22,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
442,Barcelona,ES,53.46,clear sky,41.3888,2.159,Axel Hotel Barcelona
444,Batemans Bay,AU,63.1,moderate rain,-35.7167,150.1833,Batemans Bay Marina Resort
445,Asyut,EG,71.78,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
446,Poya,NC,81.7,moderate rain,-21.35,165.15,
447,Auki,SB,86.4,overcast clouds,-8.7676,160.7034,Auki Motel
449,Nouadhibou,MR,62.58,sand,20.931,-17.0347,El Medina
450,Ambilobe,MG,72.75,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
451,Rio Grande,BR,64.13,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
452,Maymyo,MM,84.78,clear sky,22.0333,96.4667,Tiger Hotel
453,Saldanha,ZA,59.02,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
455,Deqing,CN,81.95,clear sky,30.5448,119.9599,Narada Boutique Hotel Huzhou Deqing
456,Alice Springs,AU,80.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
457,Honiara,SB,84.25,overcast clouds,-9.4333,159.95,Heritage Park Hotel
461,Fonte Boa,BR,73.54,overcast clouds,-2.4959,-66.2662,
462,Heze,CN,65.7,clear sky,35.2431,115.4411,Hanting Express Heze North Mudang Road University Town
463,Salinas,US,77.81,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
464,Shingu,JP,67.53,overcast clouds,33.7333,135.9833,Shingu UI Hotel
